XNNMKY,XNCLCD,XNNAME,XNADD1,XNADD2,XNCDCT,XNCITY,XNSTTE,XNCTRY,XNZIP,XNNOBP,XNNOFP,XNNOKP,XNNOAP,XNRTTX,XNTIN,XNSTIN,XNADBR,XNBIÑ,XNHBIÑ,XNMBÑ,XNFRST,XNATRN,XNAFRA,XNLNCD,XNVAID,XNTAXR,XNTAXN,XNCDON,XNDDON,XNSDON,XNLNON,XNGLON,XNIRON,XNHDPR,XNMCPR,XNMACD,XNCDCI,XNCDMR,XNCDST,XNCDU1,XNCDU2,XNCDU3,XNENDT,XNENTM,XNENUS,XNENWS,XNDTLM
12.0,0     ,SAN JUAN                                ,CL 44 No 73 38                          ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11009     ,6044446939.0,6044134586.0,6042439855.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,12.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000004,000001,000007,001005,000003,0     ,0.0,0.0,          ,          ,20211108.0
14.0,0     ,CALLE NUEVA                             ,CR 51 No 41 190                         ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11008     ,6044446942.0,6042626042.0,6042320659.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,14.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000001,000001,000004,001005,000004,0     ,0.0,0.0,          ,          ,20210910.0
15.0,0     ,ITAGUI                                  ,CR 50 No 51 34                          ,                                        ,5360000.0,ITAGUI                       ,ANTIOQUIA      ,COL,11015     ,6044446943.0,6042810673.0,6042771486.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,15.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000072,000001,000000,001015,000002,1     ,0.0,0.0,          ,          ,20220202.0
16.0,0     ,AEROPUERTO OLAYA                        ,CL 14 No 52A 25                         ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11331     ,6044446945.0,6042553645.0,6042554560.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,16.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000004,000001,000008,001005,000002,0     ,0.0,0.0,          ,          ,20211111.0
17.0,0     ,SABANETA                                ,CRA 45 73 SUR 19                        ,                                        ,5631000.0,SABANETA - ANTIOQUIA         ,ANTIOQUIA      ,COL,11333     ,6044446946.0,6042880782.0,6042880057.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,17.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000072,000001,000000,001080,000003,0     ,0.0,0.0,          ,          ,20220302.0
18.0,0     ,CENTRO DE PAGOS CARIBE                  ,CRA 64C No 72 173                       ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,          ,944440346.0,944410300.0,942572635.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,18.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000002,000001,000005,001005,000003,0     ,0.0,0.0,          ,          ,20200706.0
19.0,0     ,ENVIGADO                                ,CRA 42 N° 38 -32/38/42 Envigado         ,                                        ,5266000.0,ENVIGADO                     ,ANTIOQUIA      ,COL,11019     ,6044446948.0,6042702285.0,6042768214.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,19.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000006,000001,000000,001010,000001,1     ,0.0,0.0,          ,          ,20210910.0
20.0,0     ,BUCARAMANGA                             ,CRA 18 35 02                            ,                                        ,68001000.0,BUCARAMANGA                  ,SANTANDER      ,COL,11020     ,6076970049.0,6076522125.0,6076331268.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,20.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000016,000002,000001,003005,000001,0     ,0.0,0.0,          ,          ,20210910.0
21.0,0     ,ALMACENTRO                              ,CRA 43A 34 25                           ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11245     ,6044446952.0,6042324819.0,6042321672.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,21.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000003,000001,000003,001005,000001,0     ,0.0,0.0,          ,          ,20210910.0
23.0,0     ,LA CEJA                                 ,CRA 21 19 25                            ,                                        ,5376000.0,LA CEJA                      ,ANTIOQUIA      ,COL,11023     ,6044446953.0,6045531611.0,6044825109.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,23.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000006,000001,000000,001080,000004,1     ,0.0,0.0,          ,          ,20220412.0
24.0,0     ,RIONEGRO                                ,CRA 51Ñ 49-21                           ,PARQUE PRINCIPAL                        ,5615000.0,RIONEGRO (ANTIOQUIA)         ,ANTIOQUIA      ,COL,11024     ,6044446954.0,6045611686.0,6044271042.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,24.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000006,000001,000000,001020,000002,0     ,0.0,0.0,          ,          ,20220412.0
25.0,0     ,COMERCIO INTERNACIONAL MEDELLIN         ,CRA 48 N° 26-85 TORRE NORTE PISO 1      ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,          ,6042518188.0,6045763516.0,6044251425.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,25.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000056,000001,000003,001005,000000,0     ,0.0,0.0,          ,          ,20210910.0
27.0,0     ,BAVARIA LEONA                           ,KM 30 AUTOPISTA BOGOTA TUNJA            ,                                        ,25817000.0,TOCANCIPA                    ,CUNDINAMARCA   ,COL,          ,6018786900.0,6011878690.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,27.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000055,000006,000000,002080,000008,0     ,0.0,0.0,          ,          ,20210910.0
28.0,0     ,CENTRO DE PAGOS PALMIRA                 ,CL 30 26 55 PISO 2                      ,                                        ,76520000.0,PALMIRA                      ,VALLE          ,COL,          ,922721747.0,922721747.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,28.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000074,000003,000000,004010,000008,0     ,0.0,0.0,          ,          ,20170412.0
29.0,0     ,OVIEDO                                  ,CRA 43 A 6 SUR 15 PISO 5 LC 5252        ,LOCAL 5252 CC OVIEDO                    ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11029     ,6044446956.0,6043117018.0,6044268780.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,29.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000003,000001,000002,001005,000001,0     ,0.0,0.0,          ,          ,20210910.0
30.0,0     ,CARRERA OCTAVA                          ,CRA 8 N° 12 B 17                        ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11030     ,6016075353.0,6013416558.0,6041341016.0,6013342388.0,0.0,0.0,8909039388.0,001,0.0,N,30.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000001,002005,000001,1     ,0.0,0.0,          ,          ,20211111.0
31.0,0     ,CENTRO INTERNACIONAL                    ,CLL 33 Ñ 6 B 95                         ,LC 114 A 118 Y 122 A 129PRIMER PISO     ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11031     ,6013365671.0,6011390224.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,31.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000002,002005,000001,0     ,0.0,0.0,          ,          ,20210910.0
33.0,0     ,POLO CLUB                               ,CRA 24 Ñ 80 56                          ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11300     ,6017454692.0,6012573947.0,6041621151.0,6016211491.0,0.0,0.0,8909039388.0,001,0.0,N,33.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000012,000006,000020,002005,000003,0     ,0.0,0.0,          ,          ,20211102.0
34.0,0     ,MEGACITY                                ,CR 21 8 42 LC 5                         ,CENTRO COMERCIAL MEGA CITY              ,25899000.0,ZIPAQUIRA                    ,CUNDINAMARCA   ,COL,          ,6018810956.0,0.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,34.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000015,000006,000000,002015,000008,0     ,0.0,0.0,          ,          ,20210910.0
35.0,0     ,BARRIO 7 DE AGOSTO                      ,CRA 24 No 63F 36                        ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11186     ,6017462849.0,6016062619.0,6041345513.0,6013478049.0,0.0,0.0,8909039388.0,001,0.0,N,35.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000018,002005,000003,0     ,0.0,0.0,          ,          ,20211111.0
37.0,0     ,CALLE ONCE                              ,CLL 11 No 11 20                         ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11030     ,6017460441.0,6013418591.0,0.0,6041341069.0,0.0,0.0,8909039388.0,001,0.0,N,37.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000001,002005,000002,0     ,0.0,0.0,          ,          ,20211111.0
38.0,0     ,PAIPA                                   ,CL 25Ñ 22 78                            ,                                        ,15516000.0,PAIPA                        ,BOYACA         ,COL,11262     ,6087852470.0,0.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,38.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000021,000002,000000,012080,000008,1     ,0.0,0.0,          ,          ,20220302.0
39.0,0     ,ECOPETROL                               ,CRA 13 No 35 39                         ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,          ,917462091.0,913231110.0,913231109.0,913231108.0,0.0,0.0,8909039388.0,002,0.0,N,39.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000013,000006,000002,002005,000001,0     ,0.0,0.0,          ,          ,20210712.0
40.0,0     ,CENTRO 93                               ,CRA 15 No 93 60 LC 103                  ,LOCAL 103                               ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11193     ,6016019966.0,6012570860.0,6041219151.0,6016210099.0,0.0,0.0,8909039388.0,001,0.0,N,40.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000012,000006,000023,002005,000001,0     ,0.0,0.0,          ,          ,20210910.0
41.0,0     ,PLAZA ESPANA                            ,CRA 17 No 11 13                         ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11225     ,6017456929.0,6013344609.0,6041341611.0,6013412282.0,0.0,0.0,8909039388.0,001,0.0,N,41.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000003,002005,000003,0     ,0.0,0.0,          ,          ,20211111.0
42.0,0     ,PUENTE LARGO                            ,AVENIDA SUBA 105 08                     ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11639     ,6017465589.0,6011613517.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,42.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000013,000006,000022,002005,000003,0     ,0.0,0.0,          ,          ,20220302.0
43.0,0     ,PUENTE ARANDA                           ,CL 13 42 17                             ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11108     ,6017441907.0,6012685898.0,0.0,6041368230.0,0.0,0.0,8909039388.0,001,0.0,N,43.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000009,000006,000012,002005,000001,0     ,0.0,0.0,          ,          ,20220412.0
44.0,0     ,PIEDECUESTA                             ,CR 7 8 91                               ,                                        ,68547000.0,PIEDECUESTA (SANTANDER)      ,SANTANDER      ,COL,11796     ,6076540040.0,0.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,44.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000068,000002,000000,003030,000004,1     ,0.0,0.0,          ,          ,20220412.0
45.0,0     ,CIUDAD KENNEDY                          ,CL 35 sur Ñ  78 06                      ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11045     ,6017460799.0,6012731869.0,6041451790.0,6014517888.0,0.0,0.0,8909039388.0,001,0.0,N,45.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000009,000006,000006,002005,000001,0     ,0.0,0.0,          ,          ,20220412.0
46.0,0     ,LAS GRANJAS                             ,CL 17 N° 65 B-95                        ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,          ,917460714.0,912628947.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,46.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000012,002005,000002,0     ,0.0,0.0,          ,          ,20210726.0
47.0,0     ,CENTRO DE PAGOS GUAYABAL                ,MALL PROVIDENCIA CR 52 7 SUR 16         ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,          ,943614131.0,943622408.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,47.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000004,000001,000008,001005,000008,0     ,0.0,0.0,          ,          ,20210608.0
48.0,0     ,AVENIDA CHILE                           ,CLL 72 No 8 20                          ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11048     ,6017459977.0,6015437303.0,0.0,6041543545.0,0.0,0.0,8909039388.0,001,0.0,N,48.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000012,000006,000017,002005,000001,0     ,0.0,0.0,          ,          ,20210910.0
49.0,0     ,LAS FERIAS                              ,AV CLL 72 No 69 P 15                    ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11689     ,6013114088.0,6011311094.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,49.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000013,000006,000014,002005,000003,1     ,0.0,0.0,          ,          ,20220302.0
50.0,0     ,AV. INDUSTRIALES                        ,CLL 10 No 43E 143                       ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,          ,942669486.0,0.0,942669606.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,5.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000020,000001,000002,001005,000000,0     ,0.0,0.0,          ,          ,20080527.0
51.0,0     ,CENTRO DE PAGOS CUCUTA                  ,AV CERO 14 50                           ,                                        ,54001000.0,CUCUTA                       ,NORTE DE SANTAN,COL,          ,5766060.0,0.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,51.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000059,000002,000000,011005,000008,0     ,0.0,0.0,          ,          ,20161205.0
52.0,0     ,CALLE 140                               ,CRA 12 B Ñ140 10                        ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11571     ,6017468610.0,0.0,0.0,6041614608.0,0.0,0.0,8909039388.0,001,0.0,N,52.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000011,000006,000026,002005,000003,0     ,0.0,0.0,          ,          ,20211102.0
53.0,0     ,CARRERA DECIMA                          ,CRA 10 No 17 54 LOCAL 217               ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11030     ,6017460712.0,6012864956.0,0.0,6041336341.0,0.0,0.0,8909039388.0,001,0.0,N,53.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000008,000006,000001,002005,000002,0     ,0.0,0.0,          ,          ,20211111.0
54.0,0     ,CALLE 122                               ,CL 122 N° 18 - 61                       ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,11180     ,6017477393.0,0.0,2158389.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,54.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000011,000006,000025,002005,000003,0     ,0.0,0.0,          ,          ,20211102.0
55.0,0     ,CTR. SERV PNAS Y PYME BTA               ,CLL 28 N 13 A 75 PISO 5                 ,TORRE SUR                               ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,          ,6014886000.0,0.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,55.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000055,000006,000002,002005,000000,0     ,0.0,0.0,          ,          ,20220621.0
57.0,0     ,VILLAVICENCIO                           ,CL 38 32 27 CENTRO                      ,                                        ,50001000.0,VILLAVICENCIO                ,META           ,COL,11057     ,6088833532.0,6086622424.0,6086621088.0,6086624278.0,0.0,0.0,8909039388.0,001,0.0,N,57.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000022,000002,000000,015005,000001,1     ,0.0,0.0,          ,          ,20210910.0
58.0,0     ,CENTRO DE PAGOS SUBAZAR                 ,CR 92 140 44 C C  SUBAZAR               ,                                        ,11001000.0,BOGOTA D.C.                  ,BOGOTA D.C.    ,COL,          ,5766060.0,0.0,0.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,58.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000014,000006,000027,002005,000008,0     ,0.0,0.0,          ,          ,20170710.0
59.0,0     ,AVENIDA SANTANDER                       ,CRA 23 Ñ 59 109                         ,                                        ,17001000.0,MANIZALES                    ,CALDAS         ,COL,11070     ,6068851250.0,6068861858.0,6046886043.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,59.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000029,000003,000002,006005,000001,0     ,0.0,0.0,          ,          ,20211102.0
60.0,0     ,CALI                                    ,CL 11 5 64                              ,                                        ,76001000.0,CALI                         ,VALLE          ,COL,11060     ,6024850531.0,6028822656.0,6042382400.0,8822023.0,0.0,0.0,8909039388.0,001,0.0,N,60.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000027,000003,000002,004005,000001,0     ,0.0,0.0,          ,          ,20220308.0
61.0,0     ,CARRERA PRIMERA                         ,CRA 1a 35 131                           ,                                        ,76001000.0,CALI                         ,VALLE          ,COL,11514     ,6024850532.0,6024436483.0,6042343648.0,6023436479.0,0.0,0.0,8909039388.0,001,0.0,N,61.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000027,000003,000008,004005,000001,0     ,0.0,0.0,          ,          ,20220202.0
62.0,0     ,SAN NICOLAS CALI                        ,CLL 20 5 49                             ,                                        ,76001000.0,CALI                         ,VALLE          ,COL,11060     ,6024850533.0,6028834066.0,6042381611.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,62.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000027,000003,000006,004005,000002,0     ,0.0,0.0,          ,          ,20210910.0
63.0,0     ,EMCALI YUMBO                            ,CARRERA 6 # 15 - 07                     ,                                        ,76892000.0,YUMBO                        ,VALLE          ,COL,          ,928835313.0,0.0,928810644.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,63.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000055,000003,000000,004005,000000,0     ,0.0,0.0,          ,          ,20140205.0
64.0,0     ,VIPASA                                  ,CLL 44 NORTE No 3N 07                   ,                                        ,76001000.0,CALI                         ,VALLE          ,COL,11812     ,6024850534.0,6023656302.0,6042365136.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,64.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000027,000003,000008,004005,000002,0     ,0.0,0.0,          ,          ,20220302.0
65.0,0     ,EL BORDO CAUCA                          ,CARRERA 2 Ñ 4 18                        ,                                        ,19532000.0,EL BORDO                     ,CAUCA          ,COL,          ,6028262930.0,6023613227.0,6042367136.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,65.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000031,000003,000000,004005,000000,0     ,0.0,0.0,          ,          ,20210910.0
66.0,0     ,PALMIRA                                 ,CLL 30  28 63                           ,                                        ,76520000.0,PALMIRA                      ,VALLE          ,COL,11066     ,6022855287.0,6022750103.0,6042272747.0,6022755736.0,0.0,0.0,8909039388.0,001,0.0,N,66.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000074,000003,000000,004010,000001,1     ,0.0,0.0,          ,          ,20210910.0
